Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
,,,,,,AMP110_,9,0,1,0,0,0,1,3,100.0,3,1,1,100.0
,,,,,,"IIITheXmaNIII
",2,2,7,0,0,0,2,1,12.5,8,0,5,0.0
,,,THE MOB,0|0|0|0|0|64,Win,,,,,,,,,,,,,,,
,,,,,,Really Trxpp,21,0,3,0,0,1,0,7,50.0,14,7,13,53.8
,,,,,,Gohthum,18,6,1,2,1,4,0,6,54.5,11,6,10,60.0
,,,,,,Hit RB LT,11,12,0,1,2,2,4,5,62.5,8,0,1,0.0
,,,,,,pattymil,9,3,10,0,0,1,0,3,27.3,11,3,8,37.5
,,,,,,StopBaited,5,1,1,0,0,1,0,2,100.0,2,1,1,100.0
11/18/2025,,Regular Season,Top Notch Pro Am,0|0|0|0|0|77,Loss,,,,,,,,,,,,,,
,,,,,,FarewellTour,31,1,5,1,0,0,2,11,61.1,18,9,13,69.2
,,,,,,llBiiik,28,0,2,1,0,3,0,10,76.9,13,8,11,72.7
,,,,,,OneWayPistol,7,6,3,1,0,0,1,3,50.0,6,0,2,0.0
,,,,,,HxchoG,6,0,1,2,0,2,1,2,100.0,2,1,1,100.0
,,,,,,DayyTc,5,3,1,1,0,0,0,2,40.0,5,1,4,25.0
,,,Lightsout,0|0|0|0|0|88,Win,,,,,,,,,,,,,,,
,,,,,,IllzIIII,42,0,6,1,0,0,0,15,88.2,17,12,14,85.7
,,,,,,Real JGF,24,0,2,1,1,0,1,9,75.0,12,6,8,75.0
,,,,,,TmChris2K,17,0,4,0,0,0,3,6,75.0,8,5,6,83.3
,,,,,,Melder_,3,4,8,1,1,4,2,1,33.3,3,1,2,50.0
,,,,,,xFatboy Trae,2,9,4,1,0,1,0,1,100.0,1,0,0,0
11/18/2025,,Regular Season,Abandoned Ones,0|0|0|0|0|72,Loss,,,,,,,,,,,,,,
,,,,,,xLattin,29,0,6,0,0,2,2,11,73.3,15,7,9,77.8
,,,,,,WavyJC_,24,3,8,1,0,0,5,9,81.8,11,4,6,66.7
,,,,,,KingSebass_,10,5,1,0,0,0,1,5,83.3,6,0,0,0
,,,,,,sSq5der,6,2,0,1,0,1,1,2,66.7,3,2,3,66.7
,,,,,,Wrap Again,3,3,2,0,1,2,1,1,50.0,2,1,2,50.0
,,,Lightsout,0|0|0|0|0|79,Win,,,,,,,,,,,,,,,
,,,,,,IllzIIII,33,0,5,4,0,0,0,12,70.6,17,9,13,69.2
,,,,,,TmChris2K,24,1,3,0,0,0,2,10,76.9,13,4,7,57.1
,,,,,,xFatboyTrae,10,10,2,0,0,2,3,5,62.5,8,0,0,0
,,,,,,Real JGF,6,0,3,3,0,2,0,2,33.3,6,2,4,50.0
,,,,,,Melder_,6,1,1,2,0,1,0,2,40.0,5,1,3,33.3
11/18/2025,,Regular Season,Lightsout,0|0|0|0|0|100,Win,,,,,,,,,,,,,,
,,,,,,IIIIZIII+,40,0,1,2,0,1,0,14,70.0,20,12,17,70.6
,,,,,,TmChris2K,22,0,9,0,0,0,0,8,53.3,15,4,10,40.0
,,,,,,Real JGF,20,2,0,5,1,0,1,8,53.3,15,4,6,66.7
,,,,,,Melder_,12,6,3,1,0,2,1,4,57.1,7,4,7,57.1
,,,,,,xFatboy Trae,6,14,13,0,0,1,4,3,100.0,3,0,0,0
,,,Show Up Show Out,0|0|0|0|0|92,Loss,,,,,,,,,,,,,,,
,,,,,,OC-ERN-,41,0,4,1,0,2,1,15,62.5,24,11,17,64.7
,,,,,,YouxBOP,22,0,3,1,0,1,2,8,80.0,10,6,8,75.0
,,,,,,NooCalleriiD_TTV,14,0,6,2,0,1,3,6,46.2,13,2,8,25.0
,,,,,,OC-SlightlyLate,9,14,9,1,0,1,1,4,66.7,6,0,1,0.0
,,,,,,QueTreyz33,6,6,4,1,0,0,2,2,66.7,3,2,3,66.7
11/18/2025,,Regular Season,Blacklist,0|0|0|0|0|80,Win,,,,,,,,,,,,,,
,,,,,,Cristian Noel,31,1,7,0,0,1,0,10,62.5,16,6,11,54.5
,,,,,,FirstYeezy,21,0,3,3,0,2,0,8,88.9,9,3,4,75.0
,,,,,,NO llSTICKll,20,0,6,2,0,2,1,6,75.0,8,6,8,75.0
,,,,,,zaid stax,8,8,1,2,0,0,0,4,100.0,4,0,0,0
,,,,,,FakeStepK,0,3,1,1,2,4,1,0,0.0,1,0,1,0.0
,,,Wen family,0|0|0|0|0|62,Loss,,,,,,,,,,,,,,,
,,,,,,oMirabal CF,21,0,6,0,0,3,5,9,47.4,19,3,5,60.0
,,,,,,I Ryan II,19,0,4,0,0,2,0,6,66.7,9,4,7,57.1
,,,,,,iiiTzDJ,13,1,1,0,1,3,2,5,62.5,8,3,5,60.0
,,,,,,PAGAN7PRI,7,12,1,1,0,2,0,2,33.3,6,0,0,0
,,,,,,Yerythebest2,2,6,2,0,0,1,1,1,33.3,3,0,2,0.0
11/18/2025,,Regular Season,Blacklist,0|0|0|0|0|72,Win,,,,,,,,,,,,,,
,,,,,,NO llSTICKll,33,0,3,1,1,4,1,13,76.5,17,7,10,70.0
,,,,,,Cristian Noel,26,0,9,0,0,0,2,8,80.0,10,6,7,85.7
,,,,,,zaid stax,8,10,6,2,0,2,2,4,100.0,4,0,0,0
,,,,,,FirstYeezy,5,1,1,2,0,0,0,2,40.0,5,1,3,33.3
,,,,,,FakeStepK,0,4,1,1,0,2,1,0,0,0,0,0,0
,,,Wen family,0|0|0|0|0|55,Loss,,,,,,,,,,,,,,,
,,,,,,I Ryan II,17,0,5,2,0,1,0,7,58.3,12,3,6,50.0
,,,,,,oMirabal CF,16,1,5,1,0,4,5,5,33.3,15,4,8,50.0
,,,,,,iiiTzDJ,11,3,1,1,0,0,1,4,66.7,6,3,4,75.0
,,,,,,Yerythebest2,6,3,2,1,1,1,0,2,40.0,5,2,4,50.0
,,,,,,PAGAN7PRI,5,8,4,0,0,0,1,2,66.7,3,0,0,0
11/18/2025,,Regular Season,Zentastic5,0|0|0|0|0|84,Win,,,,,,,,,,,,,,
,,,,,,Ima sell,23,0,2,8,0,3,0,10,76.9,13,3,6,50.0
,,,,,,ChrisKickz,21,1,3,1,0,1,1,9,100.0,9,3,3,100.0
,,,,,,iFlaccoTV,20,2,1,1,1,3,2,9,81.8,11,2,3,66.7
,,,,,,Guess Passes,14,0,10,0,0,1,1,5,50.0,10,4,7,57.1
,,,,,,Hey Feared,6,15,11,0,1,0,1,3,75.0,4,0,0,0
,,,THE MOB,0|0|0|0|0|53,Loss,,,,,,,,,,,,,,,
,,,,,,Really Trxpp,21,0,4,1,0,0,4,8,53.3,15,5,10,50.0
,,,,,,Hit RB LT,14,8,2,0,0,0,2,6,75.0,8,0,0,0
,,,,,,Gohthum,14,3,3,0,0,1,1,5,62.5,8,4,6,66.7
,,,,,,pattymil,2,1,6,0,0,0,3,0,0.0,7,0,5,0.0
,,,,,,StopBaited,2,0,0,3,0,1,1,1,50.0,2,0,1,0.0
11/18/2025,,Regular Season,Show Up Show Out,0|0|0|0|0|51,Loss,,,,,,,,,,,,,,
,,,,,,NooCalleriiD_TTV,18,0,8,1,0,0,3,5,35.7,14,3,10,30.0
,,,,,,Ragu_TheSauceGod,15,11,2,0,0,0,0,7,87.5,8,0,0,0
,,,,,,YouxBOP,8,0,1,5,0,5,0,4,57.1,7,0,1,0.0
,,,,,,OC-ERN-,7,0,3,4,0,2,2,3,37.5,8,1,5,20.0
,,,,,,QueTreyz33,3,4,0,0,0,3,1,1,25.0,4,1,3,33.3
,,,The 6ix,0|0|0|0|0|63,Win,,,,,,,,,,,,,,,
,,,,,,StephBeenLit,24,0,3,1,0,2,1,8,66.7,12,5,5,100.0
,,,,,,dungardoctor,22,14,5,0,0,1,2,8,88.9,9,4,4,100.0
,,,,,,RhinoDiarrhea,10,1,10,1,0,0,7,2,25.0,8,2,6,33.3
,,,,,,InEdWeTrust-,4,0,0,1,0,3,0,2,66.7,3,0,1,0.0
,,,,,,IIManuck,3,6,0,0,1,4,1,1,33.3,3,1,2,50.0
11/18/2025,,Regular Season,Lightsout,0|0|0|0|0|63,Loss,,,,,,,,,,,,,,
,,,,,,TmChris2K,25,2,5,0,0,1,3,9,75.0,12,7,9,77.8
,,,,,,IIIzIIII,23,0,1,0,0,1,1,9,47.4,19,5,14,35.7
,,,,,,xFatboyTrae,12,9,4,0,1,0,1,5,83.3,6,0,0,0
,,,,,,TradeLeez,3,1,0,0,0,1,0,1,50.0,2,1,2,50.0
,,,,,,Melder_,0,3,3,1,1,1,1,0,0.0,3,0,3,0.0
,,,Zentastic5,0|0|0|0|0|78,Win,,,,,,,,,,,,,,,
,,,,,,Guess Passes,41,0,2,0,0,0,2,15,83.3,18,9,11,81.8
,,,,,,ChrisKickz,18,1,1,1,0,0,0,7,77.8,9,4,5,80.0
,,,,,,iFlaccoTV,11,1,2,3,0,4,0,5,62.5,8,1,1,100.0
,,,,,,Hey Feared,4,7,5,0,0,3,2,2,50.0,4,0,1,0.0
